model,dataset,K,effective_K,auroc
convnext_tiny.fb_in1k,imagenet_r,10,10,0.8789673926666667
convnext_tiny.fb_in1k,imagenet_c,10,10,0.812451606
convnext_tiny.fb_in1k,imagenet_es,10,10,0.7907187243749999
convnext_tiny.fb_in1k,imagenet_v2,10,10,0.5891942840000001
convnext_tiny.fb_in1k,NINCO_OOD_classes,11,11,0.8118775140516199
convnext_tiny.fb_in1k,openimages_o,11,11,0.9111441628331969
convnext_tiny.fb_in1k,imagenet_r,11,11,0.8791396046666667
convnext_tiny.fb_in1k,imagenet_c,11,11,0.8141775840000001
convnext_tiny.fb_in1k,imagenet_es,11,11,0.79119806
convnext_tiny.fb_in1k,imagenet_v2,11,11,0.589027344
convnext_tiny.fb_in1k,NINCO_OOD_classes,12,12,0.8121915361160095
convnext_tiny.fb_in1k,openimages_o,12,12,0.9112420026466695
convnext_tiny.fb_in1k,imagenet_r,12,12,0.8803465446666667
convnext_tiny.fb_in1k,imagenet_c,12,12,0.8198101099999999
convnext_tiny.fb_in1k,imagenet_es,12,12,0.7996366165625
convnext_tiny.fb_in1k,imagenet_v2,12,12,0.589626688
convnext_tiny.fb_in1k,NINCO_OOD_classes,13,13,0.8123130758807307
convnext_tiny.fb_in1k,openimages_o,13,13,0.9116866456613524
convnext_tiny.fb_in1k,imagenet_r,13,13,0.8810356279999999
convnext_tiny.fb_in1k,imagenet_c,13,13,0.824071108
convnext_tiny.fb_in1k,imagenet_es,13,13,0.8024006775
convnext_tiny.fb_in1k,imagenet_v2,13,13,0.5895715159999999
convnext_tiny.fb_in1k,NINCO_OOD_classes,14,14,0.8121143883425481
convnext_tiny.fb_in1k,openimages_o,14,14,0.9116368819711388
convnext_tiny.fb_in1k,imagenet_r,14,14,0.8816779266666667
convnext_tiny.fb_in1k,imagenet_c,14,14,0.827763536
convnext_tiny.fb_in1k,imagenet_es,14,14,0.8061020968749999
convnext_tiny.fb_in1k,imagenet_v2,14,14,0.589780438
convnext_tiny.fb_in1k,NINCO_OOD_classes,15,15,0.8122483127959503
convnext_tiny.fb_in1k,openimages_o,15,15,0.9118164585040015
convnext_tiny.fb_in1k,imagenet_r,15,15,0.882086386
convnext_tiny.fb_in1k,imagenet_c,15,15,0.8307732160000001
convnext_tiny.fb_in1k,imagenet_es,15,15,0.8091808496875
convnext_tiny.fb_in1k,imagenet_v2,15,15,0.5900081699999999
convnext_tiny.fb_in1k,NINCO_OOD_classes,16,16,0.812491631510483
convnext_tiny.fb_in1k,openimages_o,16,16,0.9119463646102464
convnext_tiny.fb_in1k,imagenet_r,16,16,0.8826822853333334
convnext_tiny.fb_in1k,imagenet_c,16,16,0.83422665
convnext_tiny.fb_in1k,imagenet_es,16,16,0.8125115056250001
convnext_tiny.fb_in1k,imagenet_v2,16,16,0.590436734
convnext_tiny.fb_in1k,NINCO_OOD_classes,17,17,0.8120128915188509
convnext_tiny.fb_in1k,openimages_o,17,17,0.9115466708677296
convnext_tiny.fb_in1k,imagenet_r,17,17,0.8829598186666667
convnext_tiny.fb_in1k,imagenet_c,17,17,0.8365992360000001
convnext_tiny.fb_in1k,imagenet_es,17,17,0.8157006790625001
convnext_tiny.fb_in1k,imagenet_v2,17,17,0.5908969
convnext_tiny.fb_in1k,NINCO_OOD_classes,18,18,0.8116942570741391
convnext_tiny.fb_in1k,openimages_o,18,18,0.9112332320877183
convnext_tiny.fb_in1k,imagenet_r,18,18,0.8835448646666666
convnext_tiny.fb_in1k,imagenet_c,18,18,0.8384159800000001
convnext_tiny.fb_in1k,imagenet_es,18,18,0.8181529053125001
convnext_tiny.fb_in1k,imagenet_v2,18,18,0.59124698
convnext_tiny.fb_in1k,NINCO_OOD_classes,19,19,0.8090312749211352
convnext_tiny.fb_in1k,openimages_o,19,19,0.9097420114689017
convnext_tiny.fb_in1k,imagenet_r,19,19,0.8844637273333333
convnext_tiny.fb_in1k,imagenet_c,19,19,0.8444091199999999
convnext_tiny.fb_in1k,imagenet_es,19,19,0.8264316646875001
convnext_tiny.fb_in1k,imagenet_v2,19,19,0.592321052
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,1,1,0.8586160322756089
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,1,1,0.9316405469783855
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,1,1,0.8829498973333333
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,1,1,0.795467734
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,1,1,0.7646259881249999
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,1,1,0.5910734999999999
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,2,2,0.8554867410378639
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,2,2,0.9244347356481191
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,2,2,0.8929374480000001
